Policy ID,Policy Type,Scope,Target Type,Target Value,Category Name,Node Type,Status,Projects,Created By,Created At
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.gmailTrigger,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleAds,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleAdsTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleAnalytics,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleAnalyticsTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBigQuery,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBigQueryTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBooks,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBooksTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBusinessProfile,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBusinessProfileTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleBusinessProfileTrigger,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCalendar,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCalendarTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCalendarTrigger,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleChat,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleChatTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCloudNaturalLanguage,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCloudNaturalLanguageTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCloudStorage,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleCloudStorageTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleContacts,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleContactsTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleDocs,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleDocsTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleDrive,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleDriveTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleDriveTrigger,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleFirebaseCloudFirestore,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleFirebaseCloudFirestoreTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleFirebaseRealtimeDatabase,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleFirebaseRealtimeDatabaseTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googlePerspective,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googlePerspectiveTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleSheets,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleSheetsTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleSheetsTrigger,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleSlides,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleSlidesTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleTasks,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleTasksTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleTranslate,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.googleTranslateTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.gSuiteAdmin,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
aOTcHBzHcbr65XUf,block,global,category,google-nodes,Google,n8n-nodes-base.gSuiteAdminTool,Blocked,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:29:19.621+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,@n8n/n8n-nodes-langchain.embeddingsAzureOpenAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,@n8n/n8n-nodes-langchain.lmChatAzureOpenAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftEntra,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftEntraTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftExcel,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftExcelTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOneDrive,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOneDriveTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOneDriveTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOutlook,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOutlookTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftOutlookTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftSharePoint,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftSharePointTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftTeams,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftTeamsTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
EFyDOBbSjgZ8ReYf,allow,global,category,azure-microsoft,Azure/Microsoft,n8n-nodes-base.microsoftTeamsTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:42.722+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,@n8n/n8n-nodes-langchain.embeddingsAwsBedrock,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,@n8n/n8n-nodes-langchain.lmChatAwsBedrock,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsCertificateManager,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsCognito,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsComprehend,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsDynamoDb,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsElb,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsIam,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsLambda,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsLambdaTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsRekognition,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsS3,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsS3Tool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSes,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSesTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSns,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSnsTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSnsTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsSqs,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsTextract,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsTextractTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsTranscribe,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.awsTranscribeTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.s3,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
GJJfbM5jylNYBGtt,allow,global,category,aws-external,AWS,n8n-nodes-base.s3Tool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:33:18.928+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.agent,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.agentTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chainLlm,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chainRetrievalQa,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chainSummarization,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chat,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chatTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.chatTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.code,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.documentBinaryInputLoader,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.documentDefaultDataLoader,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.documentGithubLoader,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.documentJsonInputLoader,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.embeddingsOpenAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.guardrails,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.informationExtractor,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.lmChatOpenAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.lmOpenAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.manualChatTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.mcpClient,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.mcpClientTool,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.mcpTrigger,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryBufferWindow,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryChatRetriever,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryManager,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryMongoDbChat,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryMotorhead,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryPostgresChat,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryRedisChat,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryXata,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.memoryZep,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.modelSelector,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.openAi,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.openAiAssistant,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.outputParserAutofixing,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.outputParserItemList,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.outputParserStructured,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.retrieverContextualCompression,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.retrieverMultiQuery,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
NnSLNvhrasoOU2hB,allow,global,category,core-essential,Core Essential,@n8n/n8n-nodes-langchain.retrieverVectorStore,Allowed,All (Global),tzaci.shaiovitch@amdocs.com,2026-01-25 13:04:52.028+00
